select,engels,italiaans,reflexieve,prefix,infinitief,imperfectum singularis,imperfectum pluralis,participium,auxiliare,klasse ,vocaalverandering,,
1,remember,ricordare,,ont,houden ,onthield,onthielden,onthouden,hebben,"7, onregelmatig ",,,
1,"abstain, refrain",astenersi,zich,ont,houden ,onthield,onthielden,onthouden,hebben,"7, onregelmatig ",,,
,,,,,heffen ,hief,,geheven ,,Andere klinkerwisseling,,,
,,,,,scheppen ,schiep,,geschapen ,,Andere klinkerwisseling,,,
,,,,,tijgen ,toog,,getogen ,,Andere klinkerwisseling,,,
1,become,diventare,,,worden ,werd,werden,geworden,zijn,Andere klinkerwisseling,,,
,,,,,zweren ,zwoer,,gezworen ,,Andere klinkerwisseling,,,
1,bring,portare,,,brengen ,bracht,brachten,gebracht ,hebben,Onregelmatig ,,,
1,think,pensare,,,denken ,dacht,dachten,gedacht ,hebben,Onregelmatig ,,,
1,consider,considerare,,be,denken ,bedacht,bedachten,bedacht,hebben,Onregelmatig ,,,
1,suspect,sospettare,,ver,denken ,verdacht,verdachten,verdacht,hebben,Onregelmatig ,,,
1,do,fare ,,,doen ,deed,deden,gedaan ,hebben,Onregelmatig ,,,
1,"satisfy, comply",soddisfare,,vol,doen ,voldeed,voldeden,voldaan ,hebben,Onregelmatig ,,,
,,,,,dunken ,docht[11],,gedocht[11] ,,Onregelmatig ,,,
1,have,avere,,,hebben ,had,hadden,gehad ,hebben,Onregelmatig ,,,
1,buy,comprare,,,kopen ,kocht,kochten,gekocht ,hebben,Onregelmatig ,,,
1,sell,vendere,,ver,kopen ,verkocht,verkochten,verkocht ,hebben,Onregelmatig ,,,
,be,essere,,,wezen,,,geweest,was (mv. waren),Onregelmatig ,,,
1,will,volere,,,willen ,"wilde, wou","wilden, wouden",gewild ,hebben,Onregelmatig ,,,
1,say,dire,,,zeggen ,zei,zeiden,gezegd ,hebben,Onregelmatig ,,,
1,be,essere,,,zijn ,was,waren,geweest,zijn,Onregelmatig ,,,
1,search,cercare,,,zoeken ,zocht,zochten,gezocht ,hebben,Onregelmatig ,,,
1,visit,visitare,,be,zoeken ,bezocht,bezochten,bezocht,hebben,Onregelmatig ,,,
1,"request, beg","richiedere, pregare",,ver,zoeken ,verzocht,verzochten,verzocht,hebben,Onregelmatig ,,,
1,"examine, investigate","esaminare, indagare",,onder,zoeken ,onderzocht,onderzochten,onderzocht,hebben,Onregelmatig ,,,
1,dare,osare,,,durven ,durfde,durfden,gedurfd ,hebben,Onregelmatig ,,,
1,can,potere,,,kunnen ,kon,konden,gekund,hebben,Onregelmatig ,,,
1,must,dovere,,,moeten ,moest,moesten,gemoeten,hebben,Onregelmatig ,,,
1,may,"potere, essere autorizzati",,,mogen ,mocht,mochten,gemogen ,hebben,Onregelmatig ,,,
1,know,sapere,,,weten ,wist,wisten,geweten ,hebben,Onregelmatig ,,,
1,"should, shall",dovrebbe,,,zullen ,zou,zouden,,,Onregelmatig ,,,
,,,,,bleiten ,bleitte,,gebleit ,,Zwak ,,,
,,,,,brouwen ,brouwde,,gebrouwd ,,Zwak ,,,
,,,,,erven ,erfde,,geërfd ,,Zwak ,,,
,"need to, have to","dovere, occorrere ",,,hoeven,hoefde,hoefden,gehoefd ,,Zwak ,,,
,,,,,klagen ,klaagde,,geklaagd ,,Zwak ,,,
,,,,,leggen ,legde,,gelegd ,,Zwak ,,,
,,,,,pijpen ,pijpte,,gepijpt ,,Zwak ,,,
,commit,commettere,,,plegen ,pleegde,pleegden,gepleegd ,hebben,Zwak ,,,
,,,,,pluizen ,pluisde,,gepluisd ,,Zwak ,,,
,,,,,plukken ,plukte,,geplukt ,,Zwak ,,,
,,,,,prijzen ,prijsde,,geprijsd ,,Zwak ,,,
,,,,,raken ,raakte,,geraakt ,,Zwak ,,,
,,,,,scheppen ,schepte,,geschept ,,Zwak ,,,
,,,,,scheren ,scheerde,,gescheerd ,,Zwak ,,,
,,,,,snappen ,snapte,,gesnapt ,,Zwak ,,,
,,,,,stijven ,stijfde,,gestijfd ,,Zwak ,,,
1,wash,lavare,,,wassen ,waste,wasten,gewassen,hebben,Zwak ,,,
,work,lavorare,,,werken ,werkte,werkten,gewerkt ,hebben,Zwak ,,,
,,,,,zinnen ,zinde,,gezind ,,Zwak ,,,
,,,,,zweten[15] ,zweette,,gezweet ,,Zwak ,,,
